Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,ALPA4.SA,ALPA4.SA,ALPA4.SA,ALPA4.SA,ALPA4.SA,,
Date,,,,,,,
2025-01-23,6.050000190734863,6.309999942779541,6.019999980926514,6.309999942779541,3097800,,
2025-01-24,6.130000114440918,6.239999771118164,6.039999961853027,6.059999942779541,1513600,,
2025-01-27,6.300000190734863,6.349999904632568,6.099999904632568,6.099999904632568,1783300,,
2025-01-28,6.130000114440918,6.380000114440918,6.110000133514404,6.340000152587891,2905100,,
2025-01-29,6.0,6.159999847412109,5.960000038146973,6.150000095367432,2744500,,
