Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,CMIN3.SA,CMIN3.SA,CMIN3.SA,CMIN3.SA,CMIN3.SA,,
Date,,,,,,,
2025-01-23,5.21999979019165,5.230000019073486,5.159999847412109,5.190000057220459,4768400,,
2025-01-24,5.150000095367432,5.289999961853027,5.139999866485596,5.25,4373700,,
2025-01-27,5.360000133514404,5.360000133514404,5.119999885559082,5.139999866485596,5639200,,
2025-01-28,5.260000228881836,5.329999923706055,5.25,5.309999942779541,3537900,,
2025-01-29,5.21999979019165,5.309999942779541,5.21999979019165,5.28000020980835,4673300,,
