Price,Adj Close,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,VVAR3.SA,VVAR3.SA,VVAR3.SA,VVAR3.SA,VVAR3.SA,VVAR3.SA,,
Date,,,,,,,,
