Price,Adj Close,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,LCAM3.SA,LCAM3.SA,LCAM3.SA,LCAM3.SA,LCAM3.SA,LCAM3.SA,,
Date,,,,,,,,
