Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,BRFS3.SA,BRFS3.SA,BRFS3.SA,BRFS3.SA,BRFS3.SA,,
Date,,,,,,,
2025-01-23,21.75,22.3700008392334,21.399999618530273,22.0,11017200,,
2025-01-24,21.8799991607666,22.030000686645508,21.600000381469727,21.719999313354492,6152300,,
2025-01-27,22.329999923706055,22.420000076293945,21.780000686645508,21.81999969482422,5518200,,
2025-01-28,22.0,22.43000030517578,21.899999618530273,22.3700008392334,4971000,,
2025-01-29,22.030000686645508,22.200000762939453,21.770000457763672,22.200000762939453,4066700,,
