Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,MYPK3.SA,MYPK3.SA,MYPK3.SA,MYPK3.SA,MYPK3.SA,,
Date,,,,,,,
2025-01-23,13.579999923706055,13.579999923706055,13.149999618530273,13.270000457763672,1272800,,
2025-01-24,13.420000076293945,13.720000267028809,13.359999656677246,13.5600004196167,866400,,
2025-01-27,13.760000228881836,13.770000457763672,13.329999923706055,13.420000076293945,1268100,,
2025-01-28,13.619999885559082,13.789999961853027,13.420000076293945,13.75,797000,,
2025-01-29,13.670000076293945,13.880000114440918,13.449999809265137,13.529999732971191,1584100,,
