Price,Adj Close,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,ARZZ3.SA,ARZZ3.SA,ARZZ3.SA,ARZZ3.SA,ARZZ3.SA,ARZZ3.SA,,
Date,,,,,,,,
