Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,GOAU4.SA,GOAU4.SA,GOAU4.SA,GOAU4.SA,GOAU4.SA,,
Date,,,,,,,
2025-01-23,9.779999732971191,9.869999885559082,9.699999809265137,9.770000457763672,6445000,,
2025-01-24,9.8100004196167,9.850000381469727,9.6899995803833,9.779999732971191,5513600,,
2025-01-27,9.9399995803833,9.9399995803833,9.75,9.779999732971191,5335800,,
2025-01-28,9.930000305175781,9.979999542236328,9.8100004196167,9.90999984741211,6197400,,
2025-01-29,9.800000190734863,9.979999542236328,9.760000228881836,9.930000305175781,6393800,,
