Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,MOVI3.SA,MOVI3.SA,MOVI3.SA,MOVI3.SA,MOVI3.SA,,
Date,,,,,,,
2025-01-23,3.7699999809265137,3.880000114440918,3.7100000381469727,3.8399999141693115,3742900,,
2025-01-24,3.7200000286102295,3.890000104904175,3.690000057220459,3.7699999809265137,6780800,,
2025-01-27,3.8499999046325684,3.890000104904175,3.6600000858306885,3.7100000381469727,7673800,,
2025-01-28,3.809999942779541,3.869999885559082,3.75,3.8299999237060547,5016500,,
2025-01-29,3.869999885559082,3.9700000286102295,3.7899999618530273,3.8399999141693115,7534800,,
