Price,Adj Close,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,LINX3.SA,LINX3.SA,LINX3.SA,LINX3.SA,LINX3.SA,LINX3.SA,,
Date,,,,,,,,
