Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,BBSE3.SA,BBSE3.SA,BBSE3.SA,BBSE3.SA,BBSE3.SA,,
Date,,,,,,,
2025-01-23,38.02000045776367,38.650001525878906,37.77000045776367,38.439998626708984,3320000,,
2025-01-24,37.83000183105469,38.029998779296875,37.2400016784668,38.02000045776367,3627100,,
2025-01-27,38.56999969482422,38.56999969482422,37.709999084472656,37.75,8534800,,
2025-01-28,39.029998779296875,39.09000015258789,38.54999923706055,38.56999969482422,3011700,,
2025-01-29,38.7599983215332,39.279998779296875,38.66999816894531,39.029998779296875,3423700,,
