Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,WEGE3.SA,WEGE3.SA,WEGE3.SA,WEGE3.SA,WEGE3.SA,,
Date,,,,,,,
2025-01-23,57.25,57.27000045776367,56.349998474121094,56.439998626708984,4528400,,
2025-01-24,57.869998931884766,57.900001525878906,56.83000183105469,56.970001220703125,4763100,,
2025-01-27,53.310001373291016,56.72999954223633,52.79999923706055,56.59000015258789,22361900,,
2025-01-28,54.09000015258789,55.439998626708984,53.7400016784668,54.4900016784668,10279700,,
2025-01-29,54.43000030517578,55.72999954223633,53.75,53.79999923706055,7108300,,
