Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,HAPV3.SA,HAPV3.SA,HAPV3.SA,HAPV3.SA,HAPV3.SA,,
Date,,,,,,,
2025-01-23,2.2899999618530273,2.380000114440918,2.2699999809265137,2.3299999237060547,55574700,,
2025-01-24,2.2899999618530273,2.380000114440918,2.2799999713897705,2.2899999618530273,45982600,,
2025-01-27,2.380000114440918,2.4100000858306885,2.2799999713897705,2.2899999618530273,70688700,,
2025-01-28,2.319999933242798,2.4700000286102295,2.309999942779541,2.390000104904175,135921400,,
2025-01-29,2.2899999618530273,2.369999885559082,2.2799999713897705,2.3399999141693115,51724500,,
