Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,MRVE3.SA,MRVE3.SA,MRVE3.SA,MRVE3.SA,MRVE3.SA,,
Date,,,,,,,
2025-01-23,5.130000114440918,5.480000019073486,5.090000152587891,5.480000019073486,18995700,,
2025-01-24,5.179999828338623,5.28000020980835,5.079999923706055,5.139999866485596,9994100,,
2025-01-27,5.46999979019165,5.480000019073486,5.110000133514404,5.150000095367432,14098200,,
2025-01-28,5.420000076293945,5.489999771118164,5.340000152587891,5.440000057220459,5597400,,
2025-01-29,5.449999809265137,5.46999979019165,5.349999904632568,5.440000057220459,6807400,,
