Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,NTCO3.SA,NTCO3.SA,NTCO3.SA,NTCO3.SA,NTCO3.SA,,
Date,,,,,,,
2025-01-23,12.199999809265137,12.84000015258789,12.079999923706055,12.84000015258789,7131400,,
2025-01-24,12.079999923706055,12.359999656677246,12.079999923706055,12.210000038146973,3530300,,
2025-01-27,12.180000305175781,12.4399995803833,12.020000457763672,12.100000381469727,8281700,,
2025-01-28,12.0600004196167,12.279999732971191,12.029999732971191,12.239999771118164,3863800,,
2025-01-29,12.149999618530273,12.350000381469727,12.100000381469727,12.149999618530273,6965300,,
