Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,HYPE3.SA,HYPE3.SA,HYPE3.SA,HYPE3.SA,HYPE3.SA,,
Date,,,,,,,
2025-01-23,18.34000015258789,18.530000686645508,18.059999465942383,18.489999771118164,3245100,,
2025-01-24,18.399999618530273,18.6299991607666,18.260000228881836,18.520000457763672,6822200,,
2025-01-27,18.799999237060547,18.93000030517578,18.309999465942383,18.40999984741211,6568100,,
2025-01-28,18.170000076293945,19.020000457763672,18.09000015258789,18.8799991607666,3529600,,
2025-01-29,18.100000381469727,18.34000015258789,18.020000457763672,18.170000076293945,1344000,,
