Price,Adj Close,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,CIEL3.SA,CIEL3.SA,CIEL3.SA,CIEL3.SA,CIEL3.SA,CIEL3.SA,,
Date,,,,,,,,
