Price,Adj Close,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,LAME4.SA,LAME4.SA,LAME4.SA,LAME4.SA,LAME4.SA,LAME4.SA,,
Date,,,,,,,,
