Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,ITSA4.SA,ITSA4.SA,ITSA4.SA,ITSA4.SA,ITSA4.SA,,
Date,,,,,,,
2025-01-23,9.170000076293945,9.329999923706055,9.15999984741211,9.229999542236328,20897200,,
2025-01-24,9.149999618530273,9.199999809265137,9.119999885559082,9.170000076293945,12191800,,
2025-01-27,9.380000114440918,9.380000114440918,9.119999885559082,9.149999618530273,24608100,,
2025-01-28,9.380000114440918,9.449999809265137,9.279999732971191,9.34000015258789,22097800,,
2025-01-29,9.369999885559082,9.470000267028809,9.329999923706055,9.449999809265137,17006400,,
