Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,CPLE6.SA,CPLE6.SA,CPLE6.SA,CPLE6.SA,CPLE6.SA,,
Date,,,,,,,
2025-01-23,9.170000076293945,9.390000343322754,9.0600004196167,9.390000343322754,17449400,,
2025-01-24,9.199999809265137,9.279999732971191,9.109999656677246,9.140000343322754,11719900,,
2025-01-27,9.449999809265137,9.449999809265137,9.170000076293945,9.199999809265137,14086000,,
2025-01-28,9.510000228881836,9.5600004196167,9.390000343322754,9.449999809265137,14726000,,
2025-01-29,9.520000457763672,9.619999885559082,9.5,9.5600004196167,15267200,,
