Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,BPAC11.SA,BPAC11.SA,BPAC11.SA,BPAC11.SA,BPAC11.SA,,
Date,,,,,,,
2025-01-23,30.920000076293945,31.350000381469727,30.809999465942383,30.899999618530273,13909000,,
2025-01-24,30.989999771118164,31.139999389648438,30.729999542236328,30.770000457763672,5799300,,
2025-01-27,31.65999984741211,31.670000076293945,30.920000076293945,30.989999771118164,7377900,,
2025-01-28,31.40999984741211,31.6200008392334,31.350000381469727,31.610000610351562,4713400,,
2025-01-29,31.229999542236328,31.700000762939453,31.059999465942383,31.700000762939453,3869900,,
