Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,SUZB3.SA,SUZB3.SA,SUZB3.SA,SUZB3.SA,SUZB3.SA,,
Date,,,,,,,
2025-01-23,62.75,63.060001373291016,61.290000915527344,61.290000915527344,5849200,,
2025-01-24,62.7599983215332,63.0099983215332,62.0099983215332,62.81999969482422,2748800,,
2025-01-27,63.09000015258789,63.400001525878906,62.349998474121094,62.7599983215332,4296900,,
2025-01-28,62.7599983215332,63.38999938964844,62.310001373291016,62.709999084472656,2937100,,
2025-01-29,62.20000076293945,63.31999969482422,62.11000061035156,63.06999969482422,4256300,,
