Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,KLBN11.SA,KLBN11.SA,KLBN11.SA,KLBN11.SA,KLBN11.SA,,
Date,,,,,,,
2025-01-23,22.010000228881836,22.049999237060547,21.68000030517578,21.68000030517578,3957000,,
2025-01-24,22.059999465942383,22.170000076293945,21.790000915527344,22.040000915527344,2472800,,
2025-01-27,22.309999465942383,22.469999313354492,22.0,22.0,2993500,,
2025-01-28,22.25,22.3799991607666,22.100000381469727,22.309999465942383,3021100,,
2025-01-29,22.1299991607666,22.389999389648438,22.09000015258789,22.3700008392334,3001200,,
