Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,IRBR3.SA,IRBR3.SA,IRBR3.SA,IRBR3.SA,IRBR3.SA,,
Date,,,,,,,
2025-01-23,50.77000045776367,53.9900016784668,50.61000061035156,53.84000015258789,2135800,,
2025-01-24,49.599998474121094,51.2599983215332,48.59000015258789,50.779998779296875,1969400,,
2025-01-27,50.599998474121094,50.77000045776367,49.29999923706055,49.29999923706055,1161300,,
2025-01-28,52.5099983215332,52.56999969482422,50.790000915527344,50.79999923706055,2156800,,
2025-01-29,52.54999923706055,53.2400016784668,52.20000076293945,52.900001525878906,1264500,,
