Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,EGIE3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA,,
Date,,,,,,,
2025-01-23,35.150001525878906,35.599998474121094,35.150001525878906,35.36000061035156,897300,,
2025-01-24,35.16999816894531,35.47999954223633,34.959999084472656,35.060001373291016,980800,,
2025-01-27,36.13999938964844,36.290000915527344,35.06999969482422,35.15999984741211,1357500,,
2025-01-28,36.7599983215332,37.150001525878906,36.060001373291016,36.15999984741211,2971600,,
2025-01-29,36.720001220703125,37.27000045776367,36.68000030517578,36.869998931884766,1395400,,
