Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,TIMS3.SA,TIMS3.SA,TIMS3.SA,TIMS3.SA,TIMS3.SA,,
Date,,,,,,,
2025-01-23,15.399999618530273,15.640000343322754,15.300000190734863,15.470000267028809,6567700,,
2025-01-24,15.079999923706055,15.399999618530273,15.050000190734863,15.319999694824219,8698300,,
2025-01-27,15.850000381469727,15.850000381469727,15.15999984741211,15.180000305175781,4820600,,
2025-01-28,15.460000038146973,15.890000343322754,15.390000343322754,15.850000381469727,7461500,,
2025-01-29,15.470000267028809,15.579999923706055,15.300000190734863,15.539999961853027,3063400,,
