Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,MGLU3.SA,MGLU3.SA,MGLU3.SA,MGLU3.SA,MGLU3.SA,,
Date,,,,,,,
2025-01-23,6.289999961853027,6.480000019073486,6.170000076293945,6.369999885559082,18282500,,
2025-01-24,6.369999885559082,6.590000152587891,6.320000171661377,6.329999923706055,14457500,,
2025-01-27,7.010000228881836,7.039999961853027,6.300000190734863,6.349999904632568,27601900,,
2025-01-28,6.760000228881836,7.039999961853027,6.760000228881836,6.980000019073486,18431700,,
2025-01-29,6.590000152587891,6.860000133514404,6.460000038146973,6.829999923706055,20659600,,
