Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,PETR3.SA,PETR3.SA,PETR3.SA,PETR3.SA,PETR3.SA,,
Date,,,,,,,
2025-01-23,40.75,41.630001068115234,40.650001525878906,41.13999938964844,5706400,,
2025-01-24,40.630001068115234,40.86000061035156,40.2599983215332,40.75,4553600,,
2025-01-27,41.08000183105469,41.15999984741211,40.43000030517578,40.599998474121094,7749000,,
2025-01-28,40.97999954223633,41.33000183105469,40.45000076293945,41.09000015258789,10420200,,
2025-01-29,40.56999969482422,41.18000030517578,40.459999084472656,41.04999923706055,5538800,,
