Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,ASAI3.SA,ASAI3.SA,ASAI3.SA,ASAI3.SA,ASAI3.SA,,
Date,,,,,,,
2025-01-23,6.199999809265137,6.409999847412109,6.119999885559082,6.349999904632568,32962200,,
2025-01-24,6.150000095367432,6.460000038146973,6.130000114440918,6.199999809265137,10904000,,
2025-01-27,6.619999885559082,6.820000171661377,6.119999885559082,6.210000038146973,27192000,,
2025-01-28,6.519999980926514,6.739999771118164,6.519999980926514,6.53000020980835,12714900,,
2025-01-29,6.5,6.590000152587891,6.329999923706055,6.590000152587891,16579000,,
