Price,Adj Close,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,ENBR3.SA,ENBR3.SA,ENBR3.SA,ENBR3.SA,ENBR3.SA,ENBR3.SA,,
Date,,,,,,,,
