Price,Adj Close,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,HGTX3.SA,HGTX3.SA,HGTX3.SA,HGTX3.SA,HGTX3.SA,HGTX3.SA,,
Date,,,,,,,,
