Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,MRFG3.SA,MRFG3.SA,MRFG3.SA,MRFG3.SA,MRFG3.SA,,
Date,,,,,,,
2025-01-23,15.640000343322754,16.290000915527344,15.0600004196167,15.149999618530273,11929100,,
2025-01-24,15.649999618530273,15.850000381469727,15.489999771118164,15.779999732971191,4622000,,
2025-01-27,15.84000015258789,15.979999542236328,15.539999961853027,15.600000381469727,3321700,,
2025-01-28,15.930000305175781,16.09000015258789,15.739999771118164,15.779999732971191,3689300,,
2025-01-29,15.739999771118164,16.200000762939453,15.720000267028809,15.989999771118164,5392200,,
