Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,RAIL3.SA,RAIL3.SA,RAIL3.SA,RAIL3.SA,RAIL3.SA,,
Date,,,,,,,
2025-01-23,16.780000686645508,17.18000030517578,16.690000534057617,17.030000686645508,11324800,,
2025-01-24,16.700000762939453,17.09000015258789,16.670000076293945,16.760000228881836,6301200,,
2025-01-27,17.3799991607666,17.459999084472656,16.6299991607666,16.790000915527344,17015200,,
2025-01-28,17.579999923706055,17.729999542236328,17.190000534057617,17.299999237060547,16307800,,
2025-01-29,17.90999984741211,17.90999984741211,17.6299991607666,17.670000076293945,12549700,,
