Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,BRKM5.SA,BRKM5.SA,BRKM5.SA,BRKM5.SA,BRKM5.SA,,
Date,,,,,,,
2025-01-23,14.529999732971191,14.680000305175781,13.979999542236328,13.989999771118164,3688000,,
2025-01-24,14.4399995803833,14.729999542236328,14.260000228881836,14.520000457763672,2533800,,
2025-01-27,14.890000343322754,15.119999885559082,14.300000190734863,14.300000190734863,3094800,,
2025-01-28,14.600000381469727,15.050000190734863,14.539999961853027,14.970000267028809,2914500,,
2025-01-29,14.210000038146973,14.720000267028809,14.079999923706055,14.630000114440918,2970400,,
