Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,EZTC3.SA,EZTC3.SA,EZTC3.SA,EZTC3.SA,EZTC3.SA,,
Date,,,,,,,
2025-01-23,11.300000190734863,11.680000305175781,11.300000190734863,11.640000343322754,1420400,,
2025-01-24,11.420000076293945,11.640000343322754,11.270000457763672,11.3100004196167,1221700,,
2025-01-27,12.079999923706055,12.1899995803833,11.350000381469727,11.350000381469727,2697800,,
2025-01-28,12.0,12.239999771118164,11.859999656677246,12.050000190734863,1805100,,
2025-01-29,12.0,12.140000343322754,11.90999984741211,12.029999732971191,1305900,,
