Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,EMBR3.SA,EMBR3.SA,EMBR3.SA,EMBR3.SA,EMBR3.SA,,
Date,,,,,,,
2025-01-23,61.72999954223633,62.25,61.0,61.75,4377100,,
2025-01-24,60.970001220703125,62.099998474121094,60.34000015258789,61.900001525878906,4302400,,
2025-01-27,59.15999984741211,61.47999954223633,58.779998779296875,61.150001525878906,7229600,,
2025-01-28,59.369998931884766,60.150001525878906,58.90999984741211,59.79999923706055,4775900,,
2025-01-29,59.189998626708984,59.939998626708984,58.900001525878906,59.83000183105469,4029000,,
