Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,SANB11.SA,SANB11.SA,SANB11.SA,SANB11.SA,SANB11.SA,,
Date,,,,,,,
2025-01-23,24.579999923706055,25.100000381469727,24.399999618530273,25.030000686645508,4816300,,
2025-01-24,24.84000015258789,24.84000015258789,24.440000534057617,24.6299991607666,2033200,,
2025-01-27,25.100000381469727,25.18000030517578,24.639999389648438,24.84000015258789,2075400,,
2025-01-28,24.969999313354492,25.110000610351562,24.8700008392334,25.110000610351562,1103200,,
2025-01-29,24.780000686645508,25.18000030517578,24.780000686645508,25.1200008392334,1043900,,
