Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,TAEE11.SA,TAEE11.SA,TAEE11.SA,TAEE11.SA,TAEE11.SA,,
Date,,,,,,,
2025-01-23,32.150001525878906,32.95000076293945,31.959999084472656,32.79999923706055,2933200,,
2025-01-24,31.799999237060547,32.2400016784668,31.780000686645508,32.150001525878906,2764500,,
2025-01-27,32.529998779296875,32.65999984741211,31.799999237060547,31.799999237060547,1443800,,
2025-01-28,32.40999984741211,32.68000030517578,32.40999984741211,32.68000030517578,959400,,
2025-01-29,32.349998474121094,32.72999954223633,32.349998474121094,32.470001220703125,1163500,,
