Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,COGN3.SA,COGN3.SA,COGN3.SA,COGN3.SA,COGN3.SA,,
Date,,,,,,,
2025-01-23,1.3200000524520874,1.3200000524520874,1.2799999713897705,1.2999999523162842,28479700,,
2025-01-24,1.3700000047683716,1.409999966621399,1.309999942779541,1.3200000524520874,85816000,,
2025-01-27,1.399999976158142,1.409999966621399,1.2899999618530273,1.340000033378601,61812300,,
2025-01-28,1.3300000429153442,1.399999976158142,1.3200000524520874,1.3899999856948853,30181400,,
2025-01-29,1.340000033378601,1.3600000143051147,1.2999999523162842,1.3300000429153442,37316400,,
