Price,Close,High,Low,Open,Volume,SMA_50,Volatility
Ticker,ENGI11.SA,ENGI11.SA,ENGI11.SA,ENGI11.SA,ENGI11.SA,,
Date,,,,,,,
2025-01-23,37.189998626708984,37.709999084472656,36.75,37.709999084472656,1973000,,
2025-01-24,37.58000183105469,37.720001220703125,36.970001220703125,37.220001220703125,3050700,,
2025-01-27,38.63999938964844,38.81999969482422,37.22999954223633,37.5,2629400,,
2025-01-28,38.84000015258789,38.939998626708984,38.47999954223633,38.599998474121094,2132700,,
2025-01-29,38.25,39.380001068115234,38.25,39.380001068115234,2585800,,
